separation_lambda_over_D,coupling_efficiency
1.755,0.0957107538051585
1.76,0.0945836414956481
1.765,0.0934650793007599
1.77,0.0923551363659164
1.775,0.0912538785682941
1.78,0.090161368544852
1.785,0.0890776657209373
1.79,0.0880028263398101
1.795,0.0869369034931392
1.8,0.0858799471521911
1.805,0.0848320041999711
1.81,0.0837931184639034
1.815,0.0827633307495581
1.82,0.0817426788748505
1.825,0.0807311977050995
1.83,0.0797289191886888
1.835,0.0787358723934239
1.84,0.0777520835433769
1.845,0.0767775760566417
1.85,0.0758123705832326
1.855,0.0748564850439182
1.86,0.073909934669343
1.865,0.0729727320396972
1.87,0.072044887124973
1.875,0.0711264073254862
1.88,0.0702172975129338
1.885,0.0693175600717857
1.89,0.0684271949411066
1.895,0.067546199656772
1.9,0.0666745693937347
1.905,0.0658122970089582
1.91,0.0649593730843387
1.915,0.0641157859700678
1.92,0.0632815218280113
1.925,0.0624565646754831
1.93,0.0616408964291135
1.935,0.0608344969488209
1.94,0.0600373440819878
1.945,0.0592494137077061
1.95,0.0584706797811256
1.955,0.057701114377799
1.96,0.0569406877381636
1.965,0.0561893683119355
1.97,0.0554471228025749
1.975,0.0547139162116684
1.98,0.0539897118832839
1.985,0.0532744715482738
1.99,0.0525681553684153
1.995,0.0518707219805386
2,0.0511821285404159
2.005,0.0505023307666132
2.01,0.0498312829840269
2.015,0.0491689381673953
2.02,0.0485152479844396
2.025,0.0478701628389118
2.03,0.0472336319132102
2.035,0.0466056032110885
2.04,0.0459860235995839
2.045,0.045374838851105
2.05,0.044771993684912
2.055,0.0441774318084228
2.06,0.0435910959580967
2.065,0.0430129279399499
2.07,0.0424428686697849
2.075,0.0418808582128854
2.08,0.0413268358234458
2.085,0.0407807399835251
2.09,0.0402425084415299
2.095,0.0397120782502956
2.1,0.0391893858047344
2.105,0.0386743668789636
2.11,0.0381669566629675
2.115,0.0376670897987729
2.12,0.0371747004161796
2.125,0.0366897221678229
2.13,0.0362120882639023
2.135,0.0357417315062371
2.14,0.0352785843218871
2.145,0.0348225787960998
2.15,0.0343736467048451
2.155,0.0339317195466631
2.16,0.033496728574041
2.165,0.0330686048240996
2.17,0.0326472791488047
2.175,0.0322326822445444
2.18,0.0318247446810511
2.185,0.0314233969298514
2.19,0.0310285693919965
2.195,0.030640192425197
2.2,0.0302581963704585
2.205,0.0298825115779156
2.21,0.0295130684322159
2.215,0.0291497973771554
2.22,0.0287926289397918
2.225,0.0284414937538628
2.23,0.0280963225825785
2.235,0.0277570463408399
2.24,0.0274235961167748
2.245,0.0270959031926953
2.25,0.0267738990653365
2.255,0.0264575154655702
2.26,0.0261466843774544
2.265,0.0258413380566335
2.27,0.0255414090481345
2.275,0.0252468302035537
2.28,0.0249575346975955
2.285,0.0246734560440167
2.29,0.0243945281109539
2.295,0.0241206851356373
2.3,0.023851861738495
2.305,0.0235879929366755
2.31,0.0233290141569419
2.315,0.023074861247995
2.32,0.0228254704922024
2.325,0.0225807786167585
2.33,0.0223407228042396
2.335,0.0221052407026125
2.34,0.0218742704346666
2.345,0.021647750606894
2.35,0.0214256203178275
2.355,0.0212078191658019
2.36,0.0209942872562117
2.365,0.0207849652082368
2.37,0.0205797941610048
2.375,0.0203787157792981
2.38,0.0201816722587276
2.385,0.0199886063303712
2.39,0.0197994612650031
2.395,0.0196141808767659
2.4,0.0194327095264308
2.405,0.0192549921241273
2.41,0.019080974131705
2.415,0.018910601564571
2.42,0.018743820993128
2.425,0.0185805795438017
2.43,0.0184208248996207
2.435,0.0182645053004141
2.44,0.0181115695425944
2.445,0.0179619669785633
2.45,0.0178156475157651
2.455,0.0176725616153218
2.46,0.0175326602903687
2.465,0.017395895104002
2.47,0.0172622181669334
2.475,0.0171315821347664
2.48,0.0170039402050246
2.485,0.0168792461138338
2.49,0.0167574541323107
2.495,0.0166385190627115
2.5,0.0165223962342564
2.505,0.0164090414987338
2.51,0.0162984112258415
2.515,0.0161904622982925
2.52,0.0160851521066998
2.525,0.0159824385442197
2.53,0.0158822800010203
2.535,0.0157846353585394
2.54,0.015689463983558
2.545,0.0155967257221125
2.55,0.0155063808932047
2.555,0.01541839028243
2.56,0.0153327151353776
2.565,0.0152493171509619
2.57,0.0151681584746105
2.575,0.0150892016913415
2.58,0.015012409818714
2.585,0.0149377462997451
2.59,0.0148651749956818
2.595,0.0147946601787476
2.6,0.0147261665247861
2.605,0.0146596591058938
2.61,0.0145951033829703
2.615,0.0145324651982591
2.62,0.0144717107678558
2.625,0.0144128066741949
2.63,0.0143557198585232
2.635,0.0143004176134068
2.64,0.0142468675751978
2.645,0.0141950377165665
2.65,0.0141448963390157
2.655,0.0140964120654785
2.66,0.0140495538329025
2.665,0.0140042908849328
2.67,0.0139605927646189
2.675,0.0139184293072087
2.68,0.0138777706329823
2.685,0.013838587140216
2.69,0.0138008494981759
2.695,0.0137645286402299
2.7,0.0137295957570792
2.705,0.0136960222900385
2.71,0.0136637799244821
2.715,0.0136328405833739
2.72,0.0136031764209306
2.725,0.0135747598164055
2.73,0.0135475633680147
2.735,0.0135215598869797
2.74,0.0134967223917574
2.745,0.0134730241023334
2.75,0.0134504384347719
2.755,0.0134289389958338
2.76,0.0134084995777914
2.765,0.0133890941533987
2.77,0.0133706968710395
2.775,0.0133532820500092
2.78,0.0133368241760247
2.785,0.0133212978968421
2.79,0.0133066780181181
2.795,0.0132929394993928
2.8,0.0132800574502987
2.805,0.0132680071269305
2.81,0.0132567639283962
2.815,0.0132463033935896
2.82,0.0132366011980972
2.825,0.0132276331513496
2.83,0.0132193751939057
2.835,0.0132118033950164
2.84,0.0132048939502499
2.845,0.0131986231794444
2.85,0.013192967524765
2.855,0.0131879035489793
2.86,0.0131834079339323
2.865,0.0131794574791946
2.87,0.0131760291009267
2.875,0.013173099830898
2.88,0.01317064681573
2.885,0.0131686473163039
2.89,0.0131670787073716
2.895,0.0131659184773256
2.9,0.0131651442281753
2.905,0.0131647336756998
2.91,0.0131646646497699
2.915,0.0131649150948535
2.92,0.0131654630707009
2.925,0.0131662867531879
2.93,0.0131673644353365
2.935,0.0131686745284973
2.94,0.0131701955637122
2.945,0.0131719061932062
2.95,0.0131737851920533
2.955,0.0131758114600072
2.96,0.0131779640234596
2.965,0.0131802220375616
2.97,0.0131825647884704
2.975,0.0131849716957545
2.98,0.0131874223149114
2.985,0.0131898963400411
2.99,0.0131923736066337
2.995,0.0131948340944491
3,0.0131972579305845
3.005,0.0131996253925833
3.01,0.0132019169116944
3.015,0.0132041130762171
3.02,0.0132061946349583
3.025,0.013208142500772
3.03,0.0132099377541983
3.035,0.0132115616471804
3.04,0.0132129956068616
3.045,0.013214221239463
3.05,0.0132152203342214
3.055,0.0132159748674033
3.06,0.0132164670063663
3.065,0.0132166791136859
3.07,0.0132165937513277
3.075,0.013216193684852
3.08,0.0132154618876791
3.085,0.0132143815453763
3.09,0.0132129360599581
3.095,0.0132111090542392
3.1,0.0132088843761927
3.105,0.013206246103304
3.11,0.0132031785469558
3.115,0.0131996662568105
3.12,0.0131956940251767
3.125,0.0131912468913733
3.13,0.0131863101460933
3.135,0.0131808693357351
3.14,0.0131749102666987
3.145,0.0131684190096874
3.15,0.0131613819039396
3.155,0.013153785561458
3.16,0.0131456168711496
3.165,0.0131368630029601
3.17,0.0131275114119355
3.175,0.0131175498422234
3.18,0.0131069663310198
3.185,0.0130957492124401
3.19,0.0130838871213274
3.195,0.0130713689969806
3.2,0.0130581840867988
3.205,0.0130443219498419
3.21,0.0130297724603035
3.215,0.013014525810897
3.22,0.0129985725161354
3.225,0.0129819034154962
3.23,0.0129645096765253
3.235,0.0129463827977784
3.24,0.012927514611691
3.245,0.0129078972873151
3.25,0.0128875233329261
3.255,0.0128663855985345
3.26,0.0128444772782477
3.265,0.0128217919125146
3.27,0.0127983233902236
3.275,0.0127740659507024
3.28,0.0127490141855317
3.285,0.0127231630402419
3.29,0.0126965078158815
3.295,0.0126690441704169
3.3,0.0126407681199875
3.305,0.0126116760400359
3.31,0.0125817646662475
3.315,0.0125510310953713
3.32,0.0125194727858613
3.325,0.01248708755838
3.33,0.012453873596137
3.335,0.0124198294450537
3.34,0.0123849540137911
3.345,0.012349246573606
3.35,0.0123127067580255
3.355,0.0122753345624048
3.36,0.0122371303432654
3.365,0.0121980948175048
3.37,0.0121582290614327
3.375,0.0121175345096369
3.38,0.0120760129536815
3.385,0.0120336665406584
3.39,0.0119904977715428
3.395,0.0119465094994071
3.4,0.0119017049274703
3.405,0.0118560876069508
3.41,0.0118096614348173
3.415,0.0117624306512986
3.42,0.0117143998372978
3.425,0.0116655739116125
3.43,0.0116159581280079
3.435,0.011565558072102
3.44,0.0115143796581479
3.445,0.0114624291256053
3.45,0.0114097130355876
3.455,0.0113562382671546
3.46,0.0113020120134518
3.465,0.0112470417776806
3.47,0.0111913353689632
3.475,0.0111349008980295
3.48,0.011077746772767
3.485,0.0110198816936462
3.49,0.0109613146489964
3.495,0.010902054910146
3.5,0.0108421120264317
3.505,0.0107814958200934
3.51,0.0107202163810103
3.515,0.0106582840613491
3.52,0.0105957094700726
3.525,0.0105325034673236
3.53,0.010468677158738
3.535,0.0104042418895627
3.54,0.0103392092387705
3.545,0.0102735910129878
3.55,0.0102073992403607
3.555,0.0101406461643282
3.56,0.0100733442372813
3.565,0.0100055061141374
3.57,0.00993714464585043
3.575,0.00986827287281327
3.58,0.00979890401819027
3.585,0.00972905148119
3.59,0.00965872883025203
3.595,0.00958794979616383
3.6,0.00951672826513864
