# wavelength (nm),inst_bkg (ph/s) 
9.445000000000055707e+02,9.851439190363780406e-86
9.446000000000055934e+02,1.007989186179563849e-85
9.447000000000056161e+02,1.031359210944139343e-85
9.448000000000056389e+02,1.055265931268916426e-85
9.449000000000056616e+02,1.079721554028649003e-85
9.450000000000056843e+02,1.104738561032123487e-85
9.451000000000057071e+02,1.130329715153545358e-85
9.452000000000057298e+02,1.156508066599097691e-85
9.453000000000057526e+02,1.183286959311412834e-85
9.454000000000057753e+02,1.210680037516076835e-85
9.455000000000057980e+02,1.238701252411794103e-85
9.456000000000058208e+02,1.267364869008886116e-85
9.457000000000058435e+02,1.296685473117737067e-85
9.458000000000058662e+02,1.326677978492146026e-85
9.459000000000058890e+02,1.357357634129739994e-85
9.460000000000059117e+02,1.388740031733277584e-85
9.461000000000059345e+02,1.420841113335993387e-85
9.462000000000059572e+02,1.453677179096153340e-85
9.463000000000059799e+02,1.487264895261515743e-85
9.464000000000060027e+02,1.521621302310656133e-85
9.465000000000060254e+02,1.556763823272773660e-85
9.466000000000060481e+02,1.592710272230477435e-85
9.467000000000060709e+02,1.629478863010291428e-85
9.468000000000060936e+02,1.667088218064186841e-85
9.469000000000061164e+02,1.705557377545252037e-85
9.470000000000061391e+02,1.744905808585140315e-85
9.471000000000061618e+02,1.785153414773890179e-85
9.472000000000061846e+02,1.826320545848045624e-85
9.473000000000062073e+02,1.868428007592783961e-85
9.474000000000062300e+02,1.911497071960275129e-85
9.475000000000062528e+02,1.955549487411914526e-85
9.476000000000062755e+02,2.000607489485598339e-85
9.477000000000062983e+02,2.046693811597014113e-85
9.478000000000063210e+02,2.093831696076649036e-85
9.479000000000063437e+02,2.142044905450053378e-85
9.480000000000063665e+02,2.191357733964123099e-85
9.481000000000063892e+02,2.241795019368576692e-85
9.482000000000064119e+02,2.293382154953014568e-85
9.483000000000064347e+02,2.346145101850465388e-85
9.484000000000064574e+02,2.400110401608600604e-85
9.485000000000064801e+02,2.455305189038123738e-85
9.486000000000065029e+02,2.511757205341280713e-85
9.487000000000065256e+02,2.569494811529500286e-85
9.488000000000065484e+02,2.628547002133181191e-85
9.489000000000065711e+02,2.688943419213692298e-85
9.490000000000065938e+02,2.750714366679564579e-85
9.491000000000066166e+02,2.813890824919285147e-85
9.492000000000066393e+02,2.878504465751250874e-85
9.493000000000066620e+02,2.944587667702095132e-85
9.494000000000066848e+02,3.012173531620378472e-85
9.495000000000067075e+02,3.081295896629711698e-85
9.496000000000067303e+02,3.151989356431731371e-85
9.497000000000067530e+02,3.224289275965221626e-85
9.498000000000067757e+02,3.298231808429644925e-85
9.499000000000067985e+02,3.373853912680516345e-85
9.500000000000068212e+02,3.451193371004099934e-85
9.501000000000068439e+02,3.530288845359222287e-85
9.502000000000068667e+02,3.611179783455264577e-85
9.503000000000068894e+02,3.693906548507614473e-85
9.504000000000069122e+02,3.778510402232242008e-85
9.505000000000069349e+02,3.865033524649115129e-85
9.506000000000069576e+02,3.953519034314380665e-85
9.507000000000069804e+02,4.044011008997900054e-85
9.508000000000070031e+02,4.136554506808626387e-85
9.509000000000070258e+02,4.231195587781565480e-85
9.510000000000070486e+02,4.327981335935210556e-85
9.511000000000070713e+02,4.426959956319094955e-85
9.512000000000070941e+02,4.528180577937237255e-85
9.513000000000071168e+02,4.631693494081480306e-85
9.514000000000071395e+02,4.737550115172412108e-85
9.515000000000071623e+02,4.845802993327098550e-85
9.516000000000071850e+02,4.956505847461344499e-85
9.517000000000072077e+02,5.069713588936264907e-85
9.518000000000072305e+02,5.185482347767659483e-85
9.519000000000072532e+02,5.303869499398750427e-85
9.520000000000072760e+02,5.424933692062015854e-85
9.521000000000072987e+02,5.548734928039078288e-85
9.522000000000073214e+02,5.675334434740986266e-85
9.523000000000073442e+02,5.804794849013927639e-85
9.524000000000073669e+02,5.937180196008679940e-85
9.525000000000073896e+02,6.072555919643562913e-85
9.526000000000074124e+02,6.210988913733136622e-85
9.527000000000074351e+02,6.352547553788600102e-85
9.528000000000074579e+02,6.497301729510489475e-85
9.529000000000074806e+02,6.645322877986837025e-85
9.530000000000075033e+02,6.796684017610425931e-85
9.531000000000075261e+02,6.951459799400469457e-85
9.532000000000075488e+02,7.109726493173323040e-85
9.533000000000075715e+02,7.271562072213193465e-85
9.534000000000075943e+02,7.437046234305642007e-85
9.535000000000076170e+02,7.606260439493357724e-85
9.536000000000076398e+02,7.779287948656415566e-85
9.537000000000076625e+02,7.956213862925684268e-85
9.538000000000076852e+02,8.137125163950706488e-85
9.539000000000077080e+02,8.322110755039135396e-85
9.540000000000077307e+02,8.511261503189813667e-85
9.541000000000077534e+02,8.704670240031616469e-85
9.542000000000077762e+02,8.902431929779276481e-85
9.543000000000077989e+02,9.104643591818331249e-85
9.544000000000078217e+02,9.311404386644853538e-85
9.545000000000078444e+02,9.522815662644454008e-85
9.546000000000078671e+02,9.738981003882321377e-85
9.547000000000078899e+02,9.960006278931912388e-85
9.548000000000079126e+02,1.018599969075281160e-84
9.549000000000079353e+02,1.041707182765060479e-84
9.550000000000079581e+02,2.021727888819343318e-27
9.551000000000079808e+02,2.557678425184033365e-17
9.552000000000080036e+02,5.151217969222997902e-17
9.553000000000080263e+02,7.779748976511194250e-17
9.554000000000080490e+02,1.044220552298858795e-16
9.555000000000080718e+02,1.313982665195980135e-16
9.556000000000080945e+02,1.587212581244890783e-16
9.557000000000081172e+02,1.863968276852878820e-16
9.558000000000081400e+02,2.144268517260094090e-16
9.559000000000081627e+02,2.428155707058283924e-16
9.560000000000081855e+02,2.715677401277723982e-16
9.561000000000082082e+02,2.827548133124325924e-16
9.562000000000082309e+02,2.940817581938863586e-16
9.563000000000082537e+02,3.055499096851220987e-16
9.564000000000082764e+02,3.171606135941365156e-16
9.565000000000082991e+02,3.289152267018246192e-16
9.566000000000083219e+02,3.408150485650090001e-16
9.567000000000083446e+02,3.528607364583590642e-16
9.568000000000083674e+02,3.650543916863644088e-16
9.569000000000083901e+02,3.773876040450155315e-16
9.570000000000084128e+02,3.898595953159332827e-16
9.571000000000084356e+02,4.029512196557827601e-16
9.572000000000084583e+02,4.162017393581482753e-16
9.573000000000084810e+02,4.296137172158447237e-16
9.574000000000085038e+02,4.431880236654921120e-16
9.575000000000085265e+02,4.569258188145178520e-16
9.576000000000085493e+02,4.708286300187914072e-16
9.577000000000085720e+02,4.848991926718332303e-16
9.578000000000085947e+02,4.991407391561131142e-16
9.579000000000086175e+02,5.135522071397722189e-16
9.580000000000086402e+02,5.281306970475952105e-16
9.581000000000086629e+02,5.426773321084435272e-16
9.582000000000086857e+02,5.573995176321018912e-16
9.583000000000087084e+02,5.723004922123448892e-16
9.584000000000087311e+02,5.873803743980496508e-16
9.585000000000087539e+02,6.030893054966133127e-16
9.586000000000087766e+02,6.184599206325697219e-16
9.587000000000087994e+02,6.340099983702386348e-16
9.588000000000088221e+02,6.497411238598742013e-16
9.589000000000088448e+02,6.657496868268834073e-16
9.590000000000088676e+02,6.819836218660336383e-16
9.591000000000088903e+02,6.971337786737907708e-16
9.592000000000089130e+02,7.124107155240662757e-16
9.593000000000089358e+02,7.278600059560441548e-16
9.594000000000089585e+02,7.434880750792803526e-16
9.595000000000089813e+02,7.592965565311774998e-16
9.596000000000090040e+02,7.752870965706754605e-16
9.597000000000090267e+02,7.914613541603257032e-16
9.598000000000090495e+02,8.078210010491033542e-16
9.599000000000090722e+02,8.243677218554329349e-16
9.600000000000090949e+02,8.411032141504306406e-16
9.601000000000091177e+02,8.558336796229294898e-16
9.602000000000091404e+02,8.707294118203279535e-16
9.603000000000091632e+02,8.857745532396193824e-16
9.604000000000091859e+02,9.009582355904218332e-16
9.605000000000092086e+02,9.163069077724189716e-16
9.606000000000092314e+02,9.318133785431674077e-16
9.607000000000092541e+02,9.474996710288552438e-16
9.608000000000092768e+02,9.633596116970407795e-16
9.609000000000092996e+02,9.805843122454340567e-16
9.610000000000093223e+02,9.967790374930698308e-16
9.611000000000093451e+02,1.009590510591631686e-15
9.612000000000093678e+02,1.022528842008833392e-15
9.613000000000093905e+02,1.035595076842463535e-15
9.614000000000094133e+02,1.048790267409904571e-15
9.615000000000094360e+02,1.062122718322604129e-15
9.616000000000094587e+02,1.075587859349516915e-15
9.617000000000094815e+02,1.089185544107984357e-15
9.618000000000095042e+02,1.102916863878770455e-15
9.619000000000095270e+02,1.116784174826292644e-15
9.620000000000095497e+02,1.130789705558971291e-15
9.621000000000095724e+02,1.140704100359416495e-15
9.622000000000095952e+02,1.150697486209242516e-15
9.623000000000096179e+02,1.160770430762071236e-15
9.624000000000096406e+02,1.170923505281674484e-15
9.625000000000096634e+02,1.181159161601700422e-15
9.626000000000096861e+02,1.191501102979990043e-15
9.627000000000097089e+02,1.201925392907870108e-15
9.628000000000097316e+02,1.212432623890758603e-15
9.629000000000097543e+02,1.223023392221762529e-15
9.630000000000097771e+02,1.233696160476888319e-15
9.631000000000097998e+02,1.239260472829848244e-15
9.632000000000098225e+02,1.244835521254196294e-15
9.633000000000098453e+02,1.250419884282169447e-15
9.634000000000098680e+02,1.256118108358034474e-15
9.635000000000098908e+02,1.262067200350929237e-15
9.636000000000099135e+02,1.267693797232233790e-15
9.637000000000099362e+02,1.273337268807219629e-15
9.638000000000099590e+02,1.278998572273326279e-15
9.639000000000099817e+02,1.284626204387610458e-15
9.640000000000100044e+02,1.290245912632401979e-15
9.641000000000100272e+02,1.290645089837057304e-15
9.642000000000100499e+02,1.290970965936053648e-15
9.643000000000100727e+02,1.291222581129880578e-15
9.644000000000100954e+02,1.291398967729418332e-15
9.645000000000101181e+02,1.291499150113220411e-15
9.646000000000101409e+02,1.291522144684751401e-15
9.647000000000101636e+02,1.291473590688082154e-15
9.648000000000101863e+02,1.291386056190588111e-15
9.649000000000102091e+02,1.291254479132204894e-15
9.650000000000102318e+02,1.291041851947130417e-15
9.651000000000102546e+02,1.285894090514736601e-15
9.652000000000102773e+02,1.280590525272003848e-15
9.653000000000103000e+02,1.275129311842058648e-15
9.654000000000103228e+02,1.269508589686852248e-15
9.655000000000103455e+02,1.263726481991793686e-15
9.656000000000103682e+02,1.257781095549973410e-15
9.657000000000103910e+02,1.251670520645545576e-15
9.658000000000104137e+02,1.245392830936580032e-15
9.659000000000104365e+02,1.238962311497821145e-15
9.660000000000104592e+02,1.232414799084735737e-15
9.661000000000104819e+02,1.221828632918328230e-15
9.662000000000105047e+02,1.211005959189060128e-15
9.663000000000105274e+02,1.201604911294847476e-15
9.664000000000105501e+02,1.190289271809510240e-15
9.665000000000105729e+02,1.178728360442426156e-15
9.666000000000105956e+02,1.166918955336396745e-15
9.667000000000106184e+02,1.154859065753619299e-15
9.668000000000106411e+02,1.142545901808388236e-15
9.669000000000106638e+02,1.129976649834977482e-15
9.670000000000106866e+02,1.117148472221234994e-15
9.671000000000107093e+02,1.101913781586589694e-15
9.672000000000107320e+02,1.086373704593679504e-15
9.673000000000107548e+02,1.070528309229885557e-15
9.674000000000107775e+02,1.054374623279145066e-15
9.675000000000108002e+02,1.037909282259659985e-15
9.676000000000108230e+02,1.021128893389055599e-15
9.677000000000108457e+02,1.004030035389639760e-15
9.678000000000108685e+02,9.866092582926119464e-16
9.679000000000108912e+02,9.688666012802026485e-16
9.680000000000109139e+02,9.507978679282593497e-16
9.681000000000109367e+02,9.371691202467836584e-16
9.682000000000109594e+02,9.233188932631148375e-16
9.683000000000109821e+02,9.092211154193795664e-16
9.684000000000110049e+02,8.948519188967855039e-16
9.685000000000110276e+02,8.802078521141998345e-16
9.686000000000110504e+02,8.652856705614832820e-16
9.687000000000110731e+02,8.500822798475475853e-16
9.688000000000110958e+02,8.352986573127739516e-16
9.689000000000111186e+02,8.195155392758626344e-16
9.690000000000111413e+02,8.034413168537829502e-16
9.691000000000111640e+02,8.331753254737443181e-16
9.692000000000111868e+02,8.633035964978369133e-16
9.693000000000112095e+02,8.938620113884730210e-16
9.694000000000112323e+02,9.248767984904749557e-16
9.695000000000112550e+02,9.563032606649261075e-16
9.696000000000112777e+02,9.881454341951058193e-16
9.697000000000113005e+02,1.020407388352648027e-15
9.698000000000113232e+02,1.053093225631582877e-15
9.699000000000113459e+02,1.086207081983843070e-15
9.700000000000113687e+02,1.119753127056223272e-15
9.701000000000113914e+02,1.153784011743437873e-15
9.702000000000114142e+02,1.188247274210650424e-15
9.703000000000114369e+02,1.223147955267768125e-15
9.704000000000114596e+02,1.258506225592915057e-15
9.705000000000114824e+02,1.294456526366395608e-15
9.706000000000115051e+02,1.330864717042326207e-15
9.707000000000115278e+02,1.367735234502697633e-15
9.708000000000115506e+02,1.405072552213235952e-15
9.709000000000115733e+02,1.442881180491504198e-15
9.710000000000115961e+02,1.481165666776506236e-15
9.711000000000116188e+02,1.518137338030401811e-15
9.712000000000116415e+02,1.555633103135963520e-15
9.713000000000116643e+02,1.593578175455251318e-15
9.714000000000116870e+02,1.631989311132051140e-15
9.715000000000117097e+02,1.670854427170140095e-15
9.716000000000117325e+02,1.710237464589475820e-15
9.717000000000117552e+02,1.750114349876057093e-15
9.718000000000117780e+02,1.790479803471624489e-15
9.719000000000118007e+02,1.831338504456843399e-15
9.720000000000118234e+02,1.872695170458384118e-15
9.721000000000118462e+02,1.909934078686443953e-15
9.722000000000118689e+02,1.947602590744283422e-15
9.723000000000118916e+02,1.985705628241920205e-15
9.724000000000119144e+02,2.024247219143396665e-15
9.725000000000119371e+02,2.063231423987360497e-15
9.726000000000119599e+02,2.102662336125032113e-15
9.727000000000119826e+02,2.142597900649551748e-15
9.728000000000120053e+02,2.183035752343787836e-15
9.729000000000120281e+02,2.223936516058031921e-15
9.730000000000120508e+02,2.265304481464426329e-15
9.731000000000120735e+02,2.300341250257902685e-15
9.732000000000120963e+02,2.335757739526582016e-15
9.733000000000121190e+02,2.371557398611368838e-15
9.734000000000121418e+02,2.407743704674498316e-15
9.735000000000121645e+02,2.444320162903809040e-15
9.736000000000121872e+02,2.481290306718703165e-15
9.737000000000122100e+02,2.518657697977289058e-15
9.738000000000122327e+02,2.556449344196022229e-15
9.739000000000122554e+02,2.594711701385083162e-15
9.740000000000122782e+02,2.633368138100096719e-15
9.741000000000123009e+02,2.661826952271793448e-15
9.742000000000123237e+02,2.690558410431648488e-15
9.743000000000123464e+02,2.719550457138790552e-15
9.744000000000123691e+02,2.748804152587363642e-15
9.745000000000123919e+02,2.778321590691222271e-15
9.746000000000124146e+02,2.808104880606261618e-15
9.747000000000124373e+02,2.838156146832416063e-15
9.748000000000124601e+02,2.868477529316697827e-15
9.749000000000124828e+02,2.899071183556393788e-15
9.750000000000125056e+02,2.930070785499683192e-15
9.751000000000125283e+02,2.950858692179569265e-15
9.752000000000125510e+02,2.971789245752328614e-15
9.753000000000125738e+02,2.992863387578162768e-15
9.754000000000125965e+02,3.014082064964847849e-15
9.755000000000126192e+02,3.035446231203511775e-15
9.756000000000126420e+02,3.056956845604849687e-15
9.757000000000126647e+02,3.078614873535025795e-15
9.758000000000126875e+02,3.100419775693052605e-15
9.759000000000127102e+02,3.122373587552060516e-15
9.760000000000127329e+02,3.144477730846267283e-15
9.761000000000127557e+02,3.152686853112357353e-15
9.762000000000127784e+02,3.160894507716779717e-15
9.763000000000128011e+02,3.169068699998534176e-15
9.764000000000128239e+02,3.177208655250062651e-15
9.765000000000128466e+02,3.185313590525327946e-15
9.766000000000128694e+02,3.193382714570457486e-15
9.767000000000128921e+02,3.201415227753860897e-15
9.768000000000129148e+02,3.209410321995578831e-15
9.769000000000129376e+02,3.217367180696457458e-15
9.770000000000129603e+02,3.225282130895035501e-15
9.771000000000129830e+02,3.220220098758687208e-15
9.772000000000130058e+02,3.214951253657869211e-15
9.773000000000130285e+02,3.209473212877229616e-15
9.774000000000130512e+02,3.203783572845741084e-15
9.775000000000130740e+02,3.197879908979074188e-15
9.776000000000130967e+02,3.191761376300354933e-15
9.777000000000131195e+02,3.185428043509870278e-15
9.778000000000131422e+02,3.178873234418118576e-15
