# wavelength (nm),inst_bkg (ph/s) 
9.670000000000106866e+02,1.973944076442093685e-15
9.671000000000107093e+02,1.943382280502978522e-15
9.672000000000107320e+02,1.912405651323630346e-15
9.673000000000107548e+02,1.881010591620224120e-15
9.674000000000107775e+02,1.849193478182707190e-15
9.675000000000108002e+02,1.816950661669620113e-15
9.676000000000108230e+02,1.784278466550862827e-15
9.677000000000108457e+02,1.751173190847038246e-15
9.678000000000108685e+02,1.717631105972528298e-15
9.679000000000108912e+02,1.683648456575127382e-15
9.680000000000109139e+02,1.649221460366205146e-15
9.681000000000109367e+02,1.622584646459983908e-15
9.682000000000109594e+02,1.595589705501921639e-15
9.683000000000109821e+02,1.568233545724236826e-15
9.684000000000110049e+02,1.540513053174187255e-15
9.685000000000110276e+02,1.512425091551045396e-15
9.686000000000110504e+02,1.483966502040638377e-15
9.687000000000110731e+02,1.455134103166680247e-15
9.688000000000110958e+02,1.425924690712232386e-15
9.689000000000111186e+02,1.396335037538495261e-15
9.690000000000111413e+02,1.366361893447581923e-15
9.691000000000111640e+02,1.414416332736713379e-15
9.692000000000111868e+02,1.462970153169804793e-15
9.693000000000112095e+02,1.512027319219213607e-15
9.694000000000112323e+02,1.561591822654963113e-15
9.695000000000112550e+02,1.611667682694609460e-15
9.696000000000112777e+02,1.662258946178576246e-15
9.697000000000113005e+02,1.713369687729740286e-15
9.698000000000113232e+02,1.765004009889219822e-15
9.699000000000113459e+02,1.817166043408321884e-15
9.700000000000113687e+02,1.869859947311243716e-15
9.701000000000113914e+02,1.923553438977914379e-15
9.702000000000114142e+02,1.977792286731571894e-15
9.703000000000114369e+02,2.032580775724473136e-15
9.704000000000114596e+02,2.087923220357852971e-15
9.705000000000114824e+02,2.143823964517088021e-15
9.706000000000115051e+02,2.200287381736783170e-15
9.707000000000115278e+02,2.257317875425149242e-15
9.708000000000115506e+02,2.314919878933686239e-15
9.709000000000115733e+02,2.373097855840690879e-15
9.710000000000115961e+02,2.431856300119549419e-15
9.711000000000116188e+02,2.488319358151732711e-15
9.712000000000116415e+02,2.545339363798632068e-15
9.713000000000116643e+02,2.602920636971130279e-15
9.714000000000116870e+02,2.661067526829250624e-15
9.715000000000117097e+02,2.719784411998672766e-15
9.716000000000117325e+02,2.779075700751872177e-15
9.717000000000117552e+02,2.838945831189988860e-15
9.718000000000117780e+02,2.899399271426050159e-15
9.719000000000118007e+02,2.960440519769060127e-15
9.720000000000118234e+02,3.022074104899025675e-15
9.721000000000118462e+02,3.077534438512393444e-15
9.722000000000118689e+02,3.133519899891276531e-15
9.723000000000118916e+02,3.190034488241399750e-15
9.724000000000119144e+02,3.247082229551114768e-15
9.725000000000119371e+02,3.304667176820286906e-15
9.726000000000119599e+02,3.362793410069763050e-15
9.727000000000119826e+02,3.421465036695664470e-15
9.728000000000120053e+02,3.480686191620046229e-15
9.729000000000120281e+02,3.540461037351925441e-15
9.730000000000120508e+02,3.600793764160640948e-15
9.731000000000120735e+02,3.650824369102110265e-15
9.732000000000120963e+02,3.701299150264422003e-15
9.733000000000121190e+02,3.752221390615196141e-15
9.734000000000121418e+02,3.803594394737396825e-15
9.735000000000121645e+02,3.855421488958898028e-15
9.736000000000121872e+02,3.907706021483938550e-15
9.737000000000122100e+02,3.960451362524200719e-15
9.738000000000122327e+02,4.013660904431255406e-15
9.739000000000122554e+02,4.067338061843300408e-15
9.740000000000122782e+02,4.121486271813377957e-15
9.741000000000123009e+02,4.161437240530119001e-15
